studio_id,name,head_location,description
1,Ubisoft,East Melanie,Care although five color institution today card newspaper anything along respond.
2,Activision Blizzard,Johnfurt,Ready soon watch hotel pass Republican throughout base section carry letter score.
3,Bethesda Softworks,New Nicoleberg,Back why blood beyond down political fight best many course.
4,Creative Assembly,New Christina,Draw worker rule single better bill fact machine.
5,Maxis,New Christina,Town husband behavior attorney teach Mr cultural road.
6,Blizzard Entertainment,Lake Danamouth,Trip kind management pay for situation rule dream environmental region.
7,Rockstar Games,Ashleyside,Either senior girl mission southern rich too.
8,NetherRealm Studios,Floresburgh,Argue interest stay page front account plan individual ask find store according on.
9,Infinity Ward,South John,Point onto leader technology student ten leg.
10,Codemasters,East Isaacshire,Task activity break term book remain American marriage glass behavior.
11,Paradox Interactive,East Mitchellstad,Teach piece miss rich game culture never once well catch six ready your.
12,Frictional Games,West Amyview,Economic condition class professional available husband situation behind first western.
13,Capcom,Gonzalezland,Three past past us bit sit throw behavior ok actually.
14,Bloober Team,Courtneybury,Discussion since experience experience sometimes likely continue different drug.
15,Respawn Entertainment,West Sarafort,Poor usually project the same test reach us cell speech today animal.
16,Firaxis Games,South Mark,Mouth bar guess customer again what current.
17,Mojang Studios,Brendamouth,Employee so send best wife write likely performance clear three stage crime visit.
18,Polyphony Digital,Pinedaberg,Water look be until record behavior read line before.
19,Konami,Port Kellyshire,Into town week hold fast study when else party middle fund benefit rise.
20,Sony Interactive Entertainment,Tuckerland,Natural century early prevent course serve response a.
21,SNK,Rodriguezchester,Us join many evidence open on its a wrong reach none carry wide.
22,Nitroplus,Anthonychester,Report court professor practice safe inside page.
23,Kojima Productions,Aliciaview,Citizen system very company south line.
24,Frontier Developments,North Leahchester,Bar more daughter most professional its stop much point.
25,Criterion Games,Dawnland,Occur follow television environmental thousand boy question black wonder hand ten democratic alone.
26,Bioware,West Jefferyburgh,Tonight situation live start account opportunity dark turn consumer marriage when measure line.
27,CD Projekt,Susanburgh,One represent market list scientist wonder per every.
28,Klei Entertainment,Port Darleneborough,Road base continue place large arm upon conference.
29,Square Enix,Mariechester,Low commercial group explain blue home again skill past.
30,Electronic Arts,Douglasstad,Time move choose boy identify third camera test.
31,PopCap Games,South Denise,Gas course together between radio pressure stop lose fear we boy series.
32,Bungie,Lake John,Statement take daughter three north health character ability ready create control.
33,Epic Games,Simonton,Stage information board fear fly agreement Democrat.
34,Daybreak Game Company,New Adamberg,College receive decide without war fast girl.
35,Harmonix,Port Johntown,Consumer run include month management system standard early fear sometimes fire.
36,Nintendo,Tyroneview,Commercial push like case tonight like six dream learn ground itself.
37,2K Sports,Port Miguelland,Son than often heart ability general chance work.
38,IO Interactive,Jeffreyborough,Choice moment these race direction beautiful play year quickly art.
39,Spike Chunsoft,North Mark,Challenge success together safe require organization week beat.
40,Sega,Port Danielle,Operation soldier not recent say subject option.
